                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     21,                 1.6445,                0.75856,                0.88252,                0.59559,                0.47236,                0.44944,                0.13408,                 2.5495,                 1.2125,                 1.1026,               0.001604,               0.001604,               0.001604
                     22,                 1.6365,                0.76212,                0.88139,                0.63438,                0.50133,                0.47208,                0.14572,                 2.5497,                 1.2327,                 1.1056,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.6317,                0.75827,                0.87621,                0.59854,                0.47913,                0.44835,                0.14062,                 2.5688,                 1.1546,                 1.1032,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.6133,                0.74157,                0.87274,                0.63432,                0.50234,                0.48031,                0.14666,                 2.5926,                 1.2087,                 1.1144,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.6268,                0.74654,                0.87917,                0.64207,                0.49809,                 0.4841,                0.15141,                 2.5179,                 1.1779,                 1.1164,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.5849,                 0.7306,                0.87187,                 0.6506,                0.49297,                0.48812,                0.14945,                  2.527,                   1.12,                 1.1118,               0.001505,               0.001505,               0.001505
                     27,                  1.602,                0.74082,                0.87601,                 0.6605,                0.49443,                0.48297,                0.14972,                 2.5338,                 1.1671,                 1.1077,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.5824,                 0.7279,                0.87114,                0.66021,                0.51491,                0.49443,                0.15583,                 2.4824,                 1.1654,                 1.1038,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.5769,                0.72327,                0.87245,                0.67922,                    0.5,                0.50293,                0.15727,                 2.4962,                  1.129,                 1.1001,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.5571,                 0.7163,                0.86967,                0.68046,                0.51822,                0.52026,                0.16609,                 2.4834,                 1.1297,                 1.0978,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.5545,                0.70683,                0.86518,                0.67876,                0.52816,                0.51188,                0.16054,                 2.4935,                 1.1411,                 1.0969,               0.001406,               0.001406,               0.001406
                     32,                 1.5656,                0.71764,                 0.8667,                0.66896,                0.50497,                0.49731,                0.16321,                 2.5492,                 1.1693,                 1.1022,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.5493,                0.70299,                0.86595,                0.65707,                0.51127,                0.50062,                0.15762,                 2.5278,                 1.1338,                 1.1071,              0.0013664,              0.0013664,              0.0013664
                     34,                  1.529,                0.69234,                 0.8644,                 0.6905,                0.51723,                 0.5124,                0.16803,                 2.4885,                 1.1148,                 1.0954,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.5185,                0.68812,                0.86657,                0.66375,                0.51657,                0.51763,                 0.1638,                 2.5205,                 1.1442,                 1.1001,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.5215,                0.68609,                0.86138,                0.65185,                0.51865,                0.50804,                0.16216,                 2.5029,                 1.1125,                 1.1021,               0.001307,               0.001307,               0.001307
                     37,                 1.5324,                0.68682,                0.86319,                0.69478,                0.51665,                0.51555,                0.16439,                 2.5359,                 1.1383,                 1.1132,              0.0012872,              0.0012872,              0.0012872
                     38,                  1.497,                0.67085,                0.86019,                0.66758,                0.51557,                0.50961,                0.15852,                 2.5375,                 1.1267,                 1.1123,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.4845,                0.66814,                0.85906,                0.67959,                0.52075,                 0.5162,                0.16042,                 2.5239,                 1.1386,                 1.1002,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.4835,                0.66787,                0.85766,                0.68545,                0.52518,                 0.5263,                0.16232,                 2.5103,                 1.0914,                 1.1068,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.4762,                 0.6648,                0.85542,                0.68826,                0.53247,                0.52309,                0.17085,                 2.4762,                 1.1021,                 1.0971,               0.001208,               0.001208,               0.001208
                     42,                 1.4542,                0.65015,                0.85661,                0.66614,                  0.517,                0.50664,                0.15838,                 2.5716,                 1.1137,                  1.122,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.4669,                0.65761,                0.85276,                0.70729,                0.52042,                0.52914,                0.16467,                 2.5222,                 1.0943,                 1.1136,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.4423,                0.64567,                0.85149,                0.66975,                0.52386,                0.52147,                0.16431,                 2.5229,                 1.0979,                 1.1291,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.4209,                 0.6327,                0.84916,                 0.6762,                0.49614,                0.50251,                0.15291,                 2.5882,                 1.1405,                 1.1348,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.4182,                0.62944,                 0.8541,                0.69507,                0.51988,                0.52949,                0.16653,                 2.5432,                 1.1024,                 1.1194,               0.001109,               0.001109,               0.001109
                     47,                 1.4296,                0.63416,                  0.851,                0.67349,                0.53174,                0.52507,                0.16789,                 2.5196,                 1.1225,                 1.1322,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.4309,                0.64056,                0.85316,                0.65607,                0.51513,                0.50855,                0.15753,                 2.6114,                 1.0942,                 1.1255,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.4078,                0.62909,                0.84861,                0.67729,                0.52684,                 0.5301,                0.17396,                 2.5116,                 1.0933,                 1.1341,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.4103,                0.62529,                0.84823,                0.69673,                0.53048,                0.53082,                 0.1694,                 2.5138,                 1.0995,                 1.1338,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.4051,                0.62407,                0.84974,                0.67438,                0.53777,                0.52793,                0.16844,                 2.5632,                 1.0868,                 1.1337,                0.00101,                0.00101,                0.00101
                     52,                 1.4016,                0.61844,                0.84721,                0.68573,                0.54081,                0.54597,                0.17919,                 2.5017,                 1.0684,                 1.1226,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.4053,                0.62417,                0.85095,                 0.6965,                0.53607,                0.52553,                0.17205,                 2.4806,                 1.0736,                 1.1188,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.3905,                0.62052,                0.84293,                0.67961,                0.52432,                0.51769,                0.17049,                 2.5137,                 1.1007,                 1.1231,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.3996,                0.61542,                0.84364,                0.68999,                0.54241,                0.54004,                0.18095,                 2.5055,                 1.0787,                 1.1178,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.3933,                0.61577,                0.84568,                0.69917,                0.55003,                0.54406,                0.17693,                 2.4871,                 1.0806,                 1.1184,               0.000911,               0.000911,               0.000911
                     57,                 1.3693,                0.60171,                0.84141,                0.71373,                0.53863,                0.54735,                0.17792,                 2.5128,                 1.0945,                 1.1286,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.3671,                0.60286,                0.83951,                0.69664,                0.52949,                0.53331,                0.16613,                 2.5584,                 1.1256,                 1.1464,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.3427,                0.58747,                0.83997,                0.71345,                0.54274,                0.55245,                0.17722,                 2.5176,                 1.1014,                 1.1282,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.3631,                  0.602,                0.84154,                0.69139,                0.53479,                0.53516,                0.17543,                  2.511,                 1.0724,                 1.1221,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.3427,                0.59645,                0.83984,                0.69899,                0.53678,                0.53928,                  0.174,                 2.4967,                 1.0843,                 1.1176,               0.000812,               0.000812,               0.000812
                     62,                 1.3317,                0.58519,                0.83924,                0.71083,                 0.5275,                0.53794,                 0.1708,                 2.5319,                 1.0788,                   1.13,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.3475,                0.58866,                0.83781,                0.68362,                 0.5603,                 0.5518,                0.18123,                 2.4772,                 1.0831,                 1.1168,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.3065,                 0.5739,                0.83935,                0.69179,                0.53678,                0.53809,                0.17459,                 2.5113,                 1.0718,                 1.1153,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.3217,                0.58066,                0.83637,                0.70286,                0.53579,                 0.5392,                0.17309,                 2.5192,                  1.089,                 1.1284,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.3161,                0.57867,                0.83861,                 0.6878,                0.55333,                0.53925,                0.17606,                 2.5067,                 1.0955,                 1.1176,               0.000713,               0.000713,               0.000713
                     67,                 1.3185,                0.57997,                0.83306,                0.68836,                0.55551,                0.54605,                0.17579,                 2.5133,                 1.0986,                 1.1263,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.3023,                0.57276,                0.83761,                0.69766,                  0.556,                0.55531,                0.17785,                 2.5495,                 1.0671,                 1.1415,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.3021,                0.56666,                0.83402,                0.71115,                0.55302,                0.55574,                   0.18,                 2.5226,                 1.0658,                 1.1302,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.2917,                0.55956,                0.83544,                0.69296,                0.54739,                0.55259,                0.17649,                 2.5302,                 1.0713,                 1.1269,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.2891,                0.56087,                0.82897,                0.68819,                0.55964,                0.55606,                0.18072,                 2.5066,                 1.0613,                 1.1269,               0.000614,               0.000614,               0.000614
                     72,                 1.2746,                0.55603,                0.82962,                0.67847,                0.56627,                0.55034,                0.17597,                 2.5079,                 1.0941,                 1.1393,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.2713,                0.55472,                0.82726,                0.69554,                0.56627,                0.55905,                0.18307,                   2.48,                 1.0796,                 1.1371,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.2527,                0.54559,                0.83146,                0.68481,                0.55288,                 0.5504,                0.17592,                 2.5272,                 1.0761,                 1.1333,              0.0005546,              0.0005546,              0.0005546
                     75,                  1.274,                0.55528,                 0.8289,                0.68934,                0.56392,                0.55603,                0.17911,                  2.532,                  1.074,                 1.1243,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.2519,                0.55056,                0.83176,                0.69932,                0.56797,                0.56461,                0.18313,                 2.5247,                 1.0759,                 1.1322,               0.000515,               0.000515,               0.000515
                     77,                  1.248,                0.54366,                0.83004,                0.67725,                0.55275,                0.54593,                0.17392,                 2.5589,                 1.0805,                 1.1461,              0.0004952,              0.0004952,              0.0004952
                     78,                  1.236,                0.53886,                0.82731,                0.71192,                0.56262,                0.55929,                0.18001,                  2.477,                 1.0592,                  1.131,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.2168,                0.52959,                0.82328,                0.70495,                0.56793,                0.56195,                0.18223,                 2.4916,                 1.0553,                 1.1204,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.2313,                0.53456,                 0.8234,                0.69474,                0.55699,                0.55362,                0.17734,                 2.4949,                  1.066,                 1.1231,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.2325,                0.53617,                0.82617,                0.70185,                0.55924,                 0.5603,                0.18011,                 2.5025,                 1.0617,                 1.1294,               0.000416,               0.000416,               0.000416
                     82,                 1.2294,                0.53442,                 0.8241,                0.68804,                0.55964,                0.55066,                0.17671,                 2.5058,                  1.069,                 1.1296,              0.0003962,              0.0003962,              0.0003962
                     83,                  1.224,                0.53067,                0.82411,                0.69363,                0.56097,                0.56231,                 0.1784,                 2.5212,                 1.0705,                 1.1436,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.2216,                0.53011,                0.82365,                0.71137,                0.56428,                0.56946,                0.18222,                 2.5071,                 1.0714,                 1.1355,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.1959,                0.51903,                  0.823,                0.71924,                0.56395,                0.56539,                0.18179,                    2.5,                 1.0618,                 1.1344,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.2164,                0.52774,                0.82428,                0.70241,                0.55059,                0.55243,                0.18083,                  2.512,                 1.0682,                  1.131,               0.000317,               0.000317,               0.000317
                     87,                 1.1723,                0.50892,                0.82056,                0.70683,                0.56064,                0.56146,                0.18347,                 2.5095,                 1.0611,                 1.1387,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.1905,                0.51715,                0.82059,                0.70283,                0.56627,                 0.5541,                0.17822,                 2.4992,                 1.0723,                 1.1381,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.1617,                 0.5042,                0.81873,                 0.7035,                0.57223,                0.56324,                0.18239,                 2.5159,                 1.0701,                 1.1428,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.1839,                0.51497,                0.82275,                0.70767,                0.56262,                0.56052,                0.18197,                 2.5022,                 1.0633,                 1.1418,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.1253,                0.48837,                0.82125,                0.70849,                0.55799,                0.55829,                0.18041,                 2.5077,                 1.0758,                 1.1463,               0.000218,               0.000218,               0.000218
                     92,                 1.1321,                0.49061,                0.82049,                0.70853,                0.55732,                0.55553,                0.18161,                  2.503,                 1.0676,                 1.1428,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.1147,                0.48326,                0.82477,                0.69798,                0.56196,                0.55443,                0.18042,                 2.5015,                 1.0792,                 1.1438,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.1017,                0.47677,                0.81873,                0.70214,                0.55136,                0.55418,                0.17882,                 2.5203,                 1.0726,                 1.1499,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.1024,                0.47441,                0.81834,                0.70042,                0.56859,                0.56417,                0.17924,                 2.5186,                 1.0753,                 1.1543,              0.0001388,              0.0001388,              0.0001388
                     96,                  1.105,                0.47777,                0.82086,                0.70211,                0.55917,                0.55707,                0.17859,                 2.5118,                 1.0764,                 1.1506,               0.000119,               0.000119,               0.000119
                     97,                 1.0911,                0.47307,                0.81723,                0.70072,                0.56011,                0.56153,                0.18076,                 2.5051,                 1.0652,                 1.1511,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.0857,                0.46981,                0.81625,                0.71371,                0.56995,                0.56879,                 0.1828,                 2.4992,                 1.0746,                 1.1559,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.0775,                0.46819,                0.81692,                0.69642,                0.56627,                0.55771,                0.17968,                 2.5107,                 1.0739,                 1.1616,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.0745,                0.46517,                0.81459,                0.70155,                0.56313,                 0.5587,                0.17892,                 2.5061,                 1.0759,                 1.1595,               3.98e-05,               3.98e-05,               3.98e-05
