                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1527,                 1.4084,                  0.983,                0.43505,                0.32836,                 0.2456,                  0.069,                 2.7167,                 1.8746,                 1.1838,             0.00066323,             0.00066323,             0.00066323
                      2,                 2.1027,                 1.1287,                0.95474,                0.40844,                0.34559,                 0.2654,                0.06996,                 2.8209,                 1.5584,                 1.1438,              0.0013167,              0.0013167,              0.0013167
                      3,                 2.0862,                 1.0968,                0.94416,                0.49395,                0.35752,                 0.2961,                0.08139,                 2.7729,                  1.608,                 1.1788,               0.001957,               0.001957,               0.001957
                      4,                 2.0513,                 1.0723,                0.94414,                0.44203,                0.36249,                0.28341,                0.07562,                  2.811,                 1.6004,                 1.1573,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.9774,                 1.0152,                0.93232,                0.51531,                 0.3996,                0.33652,                 0.0948,                 2.6246,                 1.5043,                 1.1294,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.9204,                0.97455,                0.92286,                0.48623,                0.38734,                0.33185,                0.09214,                 2.6937,                 1.4916,                 1.1373,               0.001901,               0.001901,               0.001901
                      7,                 1.8951,                0.94854,                0.92221,                0.50398,                0.42578,                0.36939,                0.10466,                 2.7207,                 1.5501,                 1.1479,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.8586,                0.92827,                0.92052,                0.48309,                0.37674,                0.33487,                0.09504,                 2.6868,                 1.4483,                 1.1372,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.8513,                0.90132,                0.91058,                0.57257,                0.44698,                0.41907,                0.12062,                 2.6244,                  1.373,                 1.1318,              0.0018416,              0.0018416,              0.0018416
                     10,                  1.838,                0.90023,                0.90925,                0.51945,                 0.4228,                 0.3913,                0.10942,                 2.6652,                 1.3229,                 1.1331,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.7878,                0.86737,                0.90899,                0.54814,                0.42644,                0.38672,                0.11189,                 2.6476,                 1.3685,                 1.1265,               0.001802,               0.001802,               0.001802
                     12,                 1.8008,                0.86389,                0.90319,                0.57933,                0.45958,                0.41904,                0.12164,                 2.6657,                 1.2683,                 1.1303,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.7509,                0.84238,                0.89859,                0.54353,                0.46714,                0.41371,                0.12736,                 2.5827,                 1.3798,                 1.1163,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.7394,                0.83098,                0.89631,                0.61276,                0.45626,                0.43358,                0.12814,                 2.6351,                  1.291,                 1.1322,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.7299,                0.82282,                0.89285,                 0.6318,                0.48244,                0.46421,                0.14189,                 2.5315,                 1.2187,                 1.1157,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.7036,                0.81005,                0.89068,                0.60117,                0.48847,                 0.4498,                0.13293,                 2.6142,                 1.2586,                 1.1268,               0.001703,               0.001703,               0.001703
                     17,                 1.6903,                0.79675,                0.88355,                0.61529,                0.45626,                0.44863,                0.14191,                 2.5185,                 1.2055,                 1.1006,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.6737,                0.78903,                0.88592,                0.63803,                 0.4715,                0.46565,                0.13855,                 2.5417,                 1.2109,                 1.1045,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.6806,                0.78454,                0.88779,                0.66081,                0.49669,                0.49377,                0.15214,                 2.4705,                 1.1558,                  1.083,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.6772,                0.78466,                0.88678,                0.59199,                0.45891,                0.44198,                0.13777,                 2.6224,                 1.2504,                 1.1376,              0.0016238,              0.0016238,              0.0016238
